大细辛 　　马蹄细辛 苕叶细辛
西南毛莨 　　 西南毛莨叶
三增茴香丸 　　三层茴香丸 一二三层茴香丸
桑黄 　　猢狲眼 桑耳 针层孔菌 桑臣 桑黄菇 桑寄生 树鸡 桑黄菰 梅树菌
土沙参 　　 止咳草 咳嗽草 泡参 土洋参 鸡肉参 喉节草
附子 　　 草乌 乌药 盐乌头 鹅儿花 铁花 五毒
细花丁香蓼 　　 小花水丁香
千灵丹 　　巴掌草 狮子尾 狗舌草
四叶七 　　 灯笼花 分叶芹 假细辛 白毛七 查干-曹布得力格-查黑日麻 大叶细辛 灯龙花 灯笼菜花 独摇草 拐拐细辛 四叶七 四叶细辛 苏叶蒿 天王七 万根丹 杨梅菜 杨梅草 雨伞菜
巨胜丹 　　 巨胜丸
牛蒡酒 　　东洋参 牛鞭菜 大力子
板蓝根 　　 靛青根 蓝靛根 大青根
